id_thread;id_libro;cant_palabras;ts_inicio;ts_termino
8316;2025-11-24 22:07:29;2025-11-24 22:07:29
3;3;51633;2025-11-24 22:07:29;2025-11-24 22:07:29
4;4;125927;2025-11-24 22:07:29;2025-11-24 22:07:29
4;8;66703;2025-11-24 22:07:29;2025-11-24 22:07:29
2;6;147488;2025-11-24 22:07:29;2025-11-24 22:07:29
3;7;176871;2025-11-24 22:07:29;2025-11-24 22:07:29
1;5;342407;2025-11-24 22:07:29;2025-11-24 22:07:29
1;9;33585;2025-11-24 22:07:29;2025-11-24 22:07:29
4;12;37065;2025-11-24 22:07:29;2025-11-24 22:07:29
2;10;64927;2025-11-24 22:07:29;2025-11-24 22:07:29
3;11;101594;2025-11-24 22:07:29;2025-11-24 22:07:29
3;14;34038;2025-11-24 22:07:29;2025-11-24 22:07:29
4;16;44359;2025-11-24 22:07:29;2025-11-24 22:07:29
1;13;113501;2025-11-24 22:07:29;2025-11-24 22:07:29
2;15;301367;2025-11-24 22:07:29;2025-11-24 22:07:29
1;17;52674;2025-11-24 22:07:29;2025-11-24 22:07:29
2;18;197811;2025-11-24 22:07:29;2025-11-24 22:07:30
4;20;208674;2025-11-24 22:07:29;2025-11-24 22:07:30
3;19;550808;2025-11-24 22:07:29;2025-11-24 22:07:30
1;21;33280;2025-11-24 22:07:30;2025-11-24 22:07:30
2;22;60039;2025-11-24 22:07:30;2025-11-24 22:07:30
4;23;69645;2025-11-24 22:07:30;2025-11-24 22:07:30
3;24;256509;2025-11-24 22:07:30;2025-11-24 22:07:30
3;27;19724;2025-11-24 22:07:30;2025-11-24 22:07:30
4;28;24571;2025-11-24 22:07:30;2025-11-24 22:07:30
2;26;30431;2025-11-24 22:07:30;2025-11-24 22:07:30
1;25;113680;2025-11-24 22:07:30;2025-11-24 22:07:30
1;29;41136;2025-11-24 22:07:30;2025-11-24 22:07:30
4;32;57872;2025-11-24 22:07:30;2025-11-24 22:07:30
3;31;172783;2025-11-24 22:07:30;2025-11-24 22:07:30
2;30;606922;2025-11-24 22:07:30;2025-11-24 22:07:30
1;33;71110;2025-11-24 22:07:30;2025-11-24 22:07:30
4;36;73641;2025-11-24 22:07:30;2025-11-24 22:07:30
2;34;107653;2025-11-24 22:07:30;2025-11-24 22:07:30
3;35;112814;2025-11-24 22:07:30;2025-11-24 22:07:30
3;39;0;2025-11-24 22:07:30;2025-11-24 22:07:30
1;37;10062;2025-11-24 22:07:30;2025-11-24 22:07:30
2;38;108338;2025-11-24 22:07:30;2025-11-24 22:07:30
4;40;133871;2025-11-24 22:07:30;2025-11-24 22:07:30
